title,genres,actors,director
Brighton Rock,Drama Thriller Crime,Andy Serkis Helen Mirren John Hurt,Rowan Joffe
Saw V,Horror Thriller Crime,Tobin Bell Costas Mandylor Scott Patterson,David Hackl
Gli intoccabili,Drama Action Thriller Crime Foreign,John Cassavetes Britt Ekland Peter Falk,Giuliano Montaldo
LOL,Drama Comedy Romance,Miley Cyrus Demi Moore Douglas Booth,Lisa Azuelos
Jindabyne,Crime Drama Mystery Thriller,Laura Linney Gabriel Byrne Deborra-Lee Furness,Ray Lawrence
कभी अलविदा ना कहना,Drama Romance,Shah Rukh Khan Rani Mukerji Preity Zinta,Karan Johar
An Ideal Husband,Drama Comedy Romance,Cate Blanchett Minnie Driver Rupert Everett,Oliver Parker
The Last Days on Mars,Science Fiction Thriller Horror,Liev Schreiber Romola Garai Elias Koteas,Ruairi Robinson
Darkness,Horror,Anna Paquin Lena Olin Iain Glen,Jaume Balagueró
2001: A Space Odyssey,Science Fiction Mystery Adventure,Keir Dullea Gary Lockwood William Sylvester,Stanley Kubrick
E.T. the Extra-Terrestrial,Science Fiction Adventure Family Fantasy,Henry Thomas Drew Barrymore Robert MacNaughton,Steven Spielberg
In the Land of Women,Romance Comedy Drama,Meg Ryan Kristen Stewart Adam Brody,Jon Kasdan
The Blue Butterfly,Adventure Drama Family,Marc Donato Pascale Bussières William Hurt,Léa Pool
There Goes My Baby,Drama Comedy,Dermot Mulroney Ricky Schroder Kelli Williams,Floyd Mutrux
Housefull,Drama Comedy Romance Foreign,Akshay Kumar Ritesh Deshmukh Deepika Padukone,Sajid Khan
September Dawn,Drama Action History Western Romance,Jon Voight Tamara Hope Trent Ford,Christopher Cain
For Greater Glory - The True Story of Cristiada,History Drama,Eva Longoria Andy García Oscar Isaac,Dean Wright
La Famille Bélier,Comedy Drama Music,Louane Emera Karin Viard François Damiens,Eric Lartigau
Good Will Hunting,Drama,Robin Williams Matt Damon Ben Affleck,Gus Van Sant
Misconduct,Drama Thriller,Josh Duhamel Alice Eve Malin Åkerman,Shintaro Shimosawa
Saw III,Horror Thriller Crime,Tobin Bell Shawnee Smith Angus Macfadyen,Darren Lynn Bousman
Stripes,Action Comedy,Bill Murray Harold Ramis Warren Oates,Ivan Reitman
Bring It On,Comedy,Kirsten Dunst Jesse Bradford Eliza Dushku,Peyton Reed
The Purge: Election Year,Action Horror Thriller,Elizabeth Mitchell Frank Grillo Mykelti Williamson,James DeMonaco
She's All That,Comedy Romance,Freddie Prinze Jr. Rachael Leigh Cook Matthew Lillard,Robert Iscove
Saw IV,Horror Thriller Crime,Tobin Bell Scott Patterson Costas Mandylor,Darren Lynn Bousman
White Noise,Drama Horror Thriller,Michael Keaton Chandra West Deborah Kara Unger,Geoffrey Sax
Madea's Family Reunion,Drama Comedy Romance,Tyler Perry Blair Underwood Lynn Whitfield,Tyler Perry
The Color of Money,Drama,Paul Newman Tom Cruise Mary Elizabeth Mastrantonio,Martin Scorsese
The Longest Day,Action Drama History War,Eddie Albert Paul Anka Arletty,Bernhard Wicki
The Mighty Ducks,Comedy Family,Emilio Estevez Joss Ackland Lane Smith,Stephen Herek
The Grudge,Horror Mystery Thriller,Sarah Michelle Gellar Jason Behr Clea DuVall,Takashi Shimizu
Happy Gilmore,Comedy,Adam Sandler Ben Stiller Christopher McDonald,Dennis Dugan
Jeepers Creepers,Horror Thriller,Gina Philips Justin Long Jonathan Breck,Victor Salva
Bill & Ted's Excellent Adventure,Adventure Comedy Science Fiction,Keanu Reeves Alex Winter George Carlin,Stephen Herek
Oliver!,Drama Family Music,Ron Moody Shani Wallis Oliver Reed,Carol Reed
The Best Exotic Marigold Hotel,Drama Comedy,Bill Nighy Maggie Smith Tom Wilkinson,John Madden
Recess: School's Out,Science Fiction Animation Comedy Family,Rickey D'Shon Collins Jason Davis Ashley Johnson,Chuck Sheetz
Mad Max Beyond Thunderdome,Action Adventure Science Fiction,Mel Gibson Tina Turner Bruce Spence,George Miller
Commando,Action Adventure Thriller,Arnold Schwarzenegger Rae Dawn Chong Dan Hedaya,Mark L. Lester
The Boy,Horror Mystery Thriller,Lauren Cohan Rupert Evans James Russell,William Brent Bell
Devil,Horror Mystery Thriller,Chris Messina Jacob Vargas Bojana Novaković,John Erick Dowdle
Friday After Next,Comedy,Ice Cube Mike Epps John Witherspoon,Marcus Raboy
Insidious: Chapter 3,Drama Horror Thriller,Dermot Mulroney Stefanie Scott Lin Shaye,Leigh Whannell
The Last Dragon,Action Adventure Comedy,Taimak Julius Carry Vanity,Michael Schultz
The Lawnmower Man,Horror Thriller Science Fiction,Jeff Fahey Pierce Brosnan Jenny Wright,Brett Leonard
Nick and Norah's Infinite Playlist,Comedy Music Romance,Michael Cera Kat Dennings Aaron Yoo,Peter Sollett
Dogma,Fantasy Comedy Adventure,Ben Affleck Matt Damon Linda Fiorentino,Kevin Smith
The Banger Sisters,Comedy Drama,Goldie Hawn Susan Sarandon Geoffrey Rush,Bob Dolman
Twilight Zone: The Movie,Drama Fantasy Horror Science Fiction Thriller,Albert Brooks Vic Morrow John Larroquette,Steven Spielberg
Road House,Action Thriller,Patrick Swayze Kelly Lynch Sam Elliott,Rowdy Herrington
A Low Down Dirty Shame,Action Comedy Crime,Keenen Ivory Wayans Charles S. Dutton Jada Pinkett Smith,Keenen Ivory Wayans
Swimfan,Drama Thriller,Jesse Bradford Erika Christensen Shiri Appleby,John Polson
Employee of the Month,Comedy Romance,Dane Cook Jessica Simpson Dax Shepard,Greg Coolidge
Can't Hardly Wait,Comedy Drama Romance,Jennifer Love Hewitt Ethan Embry Charlie Korsmo,Deborah Kaplan
The Outsiders,Crime Drama,Matt Dillon Ralph Macchio C. Thomas Howell,Francis Ford Coppola
Pete's Dragon,Adventure Family Fantasy,Bryce Dallas Howard Oakes Fegley Wes Bentley,David Lowery
The Dead Zone,Horror Science Fiction Thriller,Christopher Walken Brooke Adams Tom Skerritt,David Cronenberg
Sinister 2,Horror,Shannyn Sossamon James Ransone Robert Daniel Sloan,Ciaran Foy
Sparkle,Drama Music,Whitney Houston Cee Lo Green Derek Luke,Salim Akil
Valentine,Horror Thriller,Denise Richards David Boreanaz Marley Shelton,Jamie Blanks
The Fourth Kind,Mystery Science Fiction Thriller,Milla Jovovich Will Patton Hakeem Kae-Kazim,Olatunde Osunsanmi
A Prairie Home Companion,Drama Comedy Music,Meryl Streep Lindsay Lohan Virginia Madsen,Robert Altman
Sugar Hill,Drama Action Thriller,Wesley Snipes Michael Wright Donald Faison,Leon Ichaso
Invasion U.S.A.,Action Thriller,Chuck Norris Richard Lynch Melissa Prophet,Joseph Zito
Roll Bounce,Comedy Drama Family,Nick Cannon Shad Moss Chi McBride,Malcolm D. Lee
Rushmore,Comedy Drama,Jason Schwartzman Olivia Williams Bill Murray,Wes Anderson
Skyline,Science Fiction,Eric Balfour Scottie Thompson David Zayas,Colin Strause
The Second Best Exotic Marigold Hotel,Drama Comedy,Dev Patel Judi Dench Richard Gere,John Madden
Kit Kittredge: An American Girl,Comedy Drama Family,Abigail Breslin Chris O'Donnell Julia Ormond,Patricia Rozema
The Perfect Man,Comedy Drama Family Romance,Hilary Duff Heather Locklear Chris Noth,Mark Rosman
Mo' Better Blues,Drama Romance,Denzel Washington Spike Lee Wesley Snipes,Spike Lee
Kung Pow: Enter the Fist,Action Comedy,Hui Lou Chen Tad Horino Steve Oedekerk,Steve Oedekerk
Tremors,Action Horror,Kevin Bacon Fred Ward Finn Carter,Ron Underwood
Wrong Turn,Horror Thriller,Desmond Harrington Eliza Dushku Emmanuelle Chriqui,Rob Schmidt
The Long Riders,Western History,David Carradine Keith Carradine Robert Carradine,Walter Hill
The Corruptor,Action Crime Mystery Thriller,Mark Wahlberg Chow Yun-fat Byron Mann,James Foley
Mud,Drama,Matthew McConaughey Tye Sheridan Jacob Lofland,Jeff Nichols
Reno 911!: Miami,Action Adventure Comedy Crime,Lennie Loftin Danny DeVito Ben Garant,Ben Garant
One Direction: This Is Us,Documentary Music,Harry Styles Niall Horan Zayn Malik,Morgan Spurlock
"The Goods: Live Hard, Sell Hard",Comedy,Jeremy Piven Ving Rhames James Brolin,Neal Brennan
Hey Arnold! The Movie,Animation Family,Spencer Klein Francesca Smith Jamil Walker Smith,Tuck Tucker
My Week with Marilyn,Drama,Michelle Williams Eddie Redmayne Kenneth Branagh,Simon Curtis
The Matador,Action Comedy Crime Drama Thriller,Pierce Brosnan Greg Kinnear Hope Davis,Richard Shepard
Love Jones,Comedy Drama Romance,Larenz Tate Nia Long Isaiah Washington,Theodore Witcher
The Gift,Thriller Mystery,Jason Bateman Rebecca Hall Joel Edgerton,Joel Edgerton
End of the Spear,Adventure Drama,Louie Leonardo Chad Allen Jack Guzman,Jim Hanon
Get Over It,Comedy Romance,Kirsten Dunst Ben Foster Melissa Sagemiller,Tommy O'Haver
Office Space,Comedy Crime,Ron Livingston Jennifer Aniston David Herman,Mike Judge
Drop Dead Gorgeous,Comedy,Kirsten Dunst Ellen Barkin Denise Richards,Michael Patrick Jann
Big Eyes,Drama,Amy Adams Christoph Waltz Krysten Ritter,Tim Burton
Very Bad Things,Comedy Crime Thriller,Jon Favreau Leland Orser Cameron Diaz,Peter Berg
Sleepover,Comedy Family,Alexa PenaVega Mika Boorem Jane Lynch,Joe Nussbaum
Body Double,Crime Mystery Horror Thriller,Craig Wasson Melanie Griffith Gregg Henry,Brian De Palma
MacGruber,Action Adventure Comedy,Will Forte Kristen Wiig Val Kilmer,Jorma Taccone
Dirty Pretty Things,Crime Drama Thriller,Chiwetel Ejiofor Audrey Tautou Sergi López,Stephen Frears
Movie 43,Comedy,Anna Faris Emma Stone Halle Berry,Griffin Dunne
Over Her Dead Body,Comedy,Eva Longoria Jason Biggs Lake Bell,Jeff Lowell
Seeking a Friend for the End of the World,Comedy Drama Romance Science Fiction,Steve Carell Keira Knightley Connie Britton,Lorene Scafaria
Cedar Rapids,Comedy,Anne Heche Ed Helms Sigourney Weaver,Miguel Arteta
American History X,Drama,Edward Norton Edward Furlong Beverly D'Angelo,Tony Kaye
The Collection,Horror Thriller,Josh Stewart Christopher McDonald Emma Fitzpatrick,Marcus Dunstan
Teacher's Pet,Animation Drama Family Music,Nathan Lane Kelsey Grammer Shaun Fleming,Timothy Bjorklund
The Red Violin,Drama Thriller Mystery Music Romance,Carlo Cecchi Irene Grazioli Anita Laurenzi,François Girard
The Straight Story,Drama,Richard Farnsworth Sissy Spacek Jane Galloway Heitz,David Lynch
Deuces Wild,Action Crime Drama Romance,Stephen Dorff Fairuza Balk Brad Renfro,Scott Kalvert
Bad Words,Comedy,Jason Bateman Kathryn Hahn Rohan Chand,Jason Bateman
Run Fatboy Run,Comedy Romance,Simon Pegg Thandie Newton Hank Azaria,David Schwimmer
Heartbeeps,Comedy Romance Family,Andy Kaufman Bernadette Peters Randy Quaid,Allan Arkush
Black or White,Drama,Kevin Costner Jillian Estell Jennifer Ehle,Mike Binder
On the Line,Comedy Family Romance,Lance Bass Joey Fatone Emmanuelle Chriqui,Eric Bross
Rescue Dawn,Adventure Drama War,Christian Bale Steve Zahn Marshall Bell,Werner Herzog
Danny Collins,Comedy Drama Music,Al Pacino Annette Bening Jennifer Garner,Dan Fogelman
"Jeff, Who Lives at Home",Drama Comedy,Jason Segel Ed Helms Susan Sarandon,Jay Duplass
Io sono l'amore,Drama Romance,Tilda Swinton Flavio Parenti Edoardo Gabbriellini,Luca Guadagnino
Atlas Shrugged Part II,Drama Science Fiction Mystery,Samantha Mathis Jason Beghe Esai Morales,John Putch
Romeo Is Bleeding,Action Crime Drama Thriller,Gary Oldman Lena Olin Annabella Sciorra,Peter Medak
The Limey,Action Crime Drama Mystery Thriller,Terence Stamp Lesley Ann Warren Luis Guzmán,Steven Soderbergh
Crash,Drama,Sandra Bullock Don Cheadle Matt Dillon,Paul Haggis
The House of Mirth,Drama Romance,Gillian Anderson Dan Aykroyd Eleanor Bron,Terence Davies
Malone,Action Thriller,Burt Reynolds Cliff Robertson Kenneth McMillan,Harley Cokeliss
Peaceful Warrior,Drama Romance,Scott Mechlowicz Nick Nolte Amy Smart,Victor Salva
Bucky Larson: Born to Be a Star,Comedy,Nick Swardson Christina Ricci Stephen Dorff,Tom Brady
Bamboozled,Comedy Drama,Damon Wayans Savion Glover Tommy Davidson,Spike Lee
The Forest,Horror Thriller,Natalie Dormer Taylor Kinney Yukiyoshi Ozawa,Jason Zada
Sphinx,Adventure Mystery Thriller,Lesley-Anne Down Frank Langella Maurice Ronet,Franklin J. Schaffner
While We're Young,Comedy Drama Mystery,Ben Stiller Naomi Watts Adam Driver,Noah Baumbach
A Better Life,Drama,Demián Bichir José Julián Chelsea Rendon,Chris Weitz
Spider,Drama Mystery Thriller,Ralph Fiennes Miranda Richardson Gabriel Byrne,David Cronenberg
Gun Shy,Action Comedy Romance Thriller,Sandra Bullock Liam Neeson Oliver Platt,Eric Blakeney
Nicholas Nickleby,Adventure Drama Action Family,Charlie Hunnam Nathan Lane Jim Broadbent,Douglas McGrath
The Iceman,Thriller Crime Drama,Michael Shannon Winona Ryder Ray Liotta,Ariel Vromen
कृष,Action Science Fiction,Hrithik Roshan Naseeruddin Shah Priyanka Chopra,Rakesh Roshan
Cecil B. Demented,Thriller Comedy Crime,Melanie Griffith Stephen Dorff Alicia Witt,John Waters
Killer Joe,Crime Drama Thriller,Matthew McConaughey Emile Hirsch Thomas Haden Church,William Friedkin
The Joneses,Comedy Drama,David Duchovny Demi Moore Amber Heard,Derrick Borte
Owning Mahowny,Crime Drama Thriller,Philip Seymour Hoffman Minnie Driver John Hurt,Richard Kwietniowski
The Brothers Solomon,Comedy,Will Arnett Will Forte Kristen Wiig,Bob Odenkirk
My Blueberry Nights,Drama Romance,Norah Jones Jude Law Natalie Portman,Wong Kar-wai
Illuminata,Drama,John Turturro Christopher Walken Susan Sarandon,John Turturro
Swept Away,Comedy Romance,Madonna Adriano Giannini Bruce Greenwood,Guy Ritchie
"War, Inc.",Action Adventure Comedy Thriller,John Cusack Hilary Duff Marisa Tomei,Joshua Seftel
少林足球,Action Comedy,Stephen Chow Ng Man-Tat Patrick Tse Yin,Stephen Chow
The Brown Bunny,Drama,Vincent Gallo Chloë Sevigny Cheryl Tiegs,Vincent Gallo
Rien ne va plus,Comedy Crime Thriller,Michel Serrault Isabelle Huppert François Cluzet,Claude Chabrol
Rosewater,Drama,Gael García Bernal Shohreh Aghdashloo Jason Jones,Jon Stewart
La femme de chambre du Titanic,Drama,Olivier Martinez Aitana Sánchez-Gijón Romane Bohringer,Bigas Luna
Coriolanus,Drama Thriller,Gerard Butler Ralph Fiennes Lubna Azabal,Ralph Fiennes
Imaginary Heroes,Comedy Drama,Sigourney Weaver Ryan Donowho Emile Hirsch,Dan Harris
High Heels and Low Lifes,Action Crime Comedy,Minnie Driver Mary McCormack Kevin McNally,Mel Smith
World's Greatest Dad,Comedy Romance,Robin Williams Alexie Gilmore Daryl Sabara,Bobcat Goldthwait
Severance,Horror Comedy Thriller,Danny Dyer Laura Harris Toby Stephens,Christopher Smith
Edmond,Drama Thriller,William H. Macy Joe Mantegna Denise Richards,Stuart Gordon
Welcome to the Rileys,Drama,Kristen Stewart James Gandolfini Melissa Leo,Jake Scott
Police Academy: Mission to Moscow,Comedy Crime,George Gaynes G. W. Bailey Leslie Easterbrook,Alan Metter
Blood Done Sign My Name,Drama Crime,Natalie Alyn Lind Michael Rooker Emily Alyn Lind,Jeb Stuart
Cinco de Mayo: La Batalla,War History Drama,Christian Vazquez Liz Gallardo Angélica Aragón,Rafa Lara
Elsa & Fred,Comedy Family Romance,Shirley MacLaine Christopher Plummer Chris Noth,Michael Radford
"An Alan Smithee Film: Burn, Hollywood, Burn",Comedy,Jackie Chan Sylvester Stallone Whoopi Goldberg,Alan Smithee
The Open Road,Comedy Drama Romance,Justin Timberlake Jeff Bridges Kate Mara,Michael Meredith
The Good Guy,Comedy Romance,Alexis Bledel Colin Egglesfield Anna Chlumsky,Julio DePietro
Motherhood,Comedy Drama,Uma Thurman Minnie Driver Anthony Edwards,Katherine Dieckmann
Free Style,Drama Family,Corbin Bleu Sandra Echeverría Madison Pettis,William Dear
Strangerland,Drama Thriller,Nicole Kidman Joseph Fiennes Hugo Weaving,Kim Farrant
Janky Promoters,Comedy,Ice Cube Mike Epps Young Jeezy,Marcus Raboy
Blonde Ambition,Comedy Romance,Jessica Simpson Luke Wilson Rachael Leigh Cook,Scott Marshall Smith
The Oxford Murders,Crime Mystery Thriller,Elijah Wood John Hurt Leonor Watling,Álex de la Iglesia
The Reef,Drama Horror Thriller,Adrienne Pickering Zoe Naylor Gyton Grantley,Andrew Traucki
Eulogy,Comedy Drama,Hank Azaria Jesse Bradford Zooey Deschanel,Michael Clancy
White Noise 2: The Light,Thriller Drama Horror Fantasy,Nathan Fillion Katee Sackhoff Craig Fairbrass,Patrick Lussier
Beat the World,Music Drama,Tyrone Brown Mishael Morgan Nikki Grant,Robert Adetuyi
Fifty Dead Men Walking,Action Thriller,Ben Kingsley Jim Sturgess Kevin Zegers,Kari Skogland
Jungle Shuffle,Family Animation Adventure,Drake Bell Rob Schneider Brianne Siddall,Taedong Park
Adam Resurrected,Drama War,Jeff Goldblum Willem Dafoe Derek Jacobi,Paul Schrader
Hross í oss,Drama Romance Comedy,Ingvar Eggert Sigurðsson Charlotte Bøving Steinn Ármann Magnússon,Benedikt Erlingsson
Hai Marjawaan!,Comedy Romance,Shabana Azmi Goldy Notay Sendhil Ramamurthy,Gurinder Chadha
The Devil's Tomb,Action Horror Thriller Science Fiction,Cuba Gooding Jr. Ray Winstone Ron Perlman,Jason Connery
Partition,Drama Foreign Romance,Kristin Kreuk Jimi Mistry Neve Campbell,Vic Sarin
Good Intentions,Comedy,Luke Perry LeAnn Rimes Jimmi Simpson,Jim Issa
"좋은 놈, 나쁜 놈, 이상한 놈",Action Adventure Comedy Western,Song Kang-ho Lee Byung-hun Jung Woo-sung,Kim Jee-woon
Nurse 3-D,Horror Thriller,Paz de la Huerta Katrina Bowden Kathleen Turner,Douglas Aarniokoski
Gunless,Drama Action Comedy Western,Sienna Guillory Tyler Mane Callum Keith Rennie,William Phillips
Adventureland,Comedy,Jesse Eisenberg Kristen Stewart Martin Starr,Greg Mottola
The Lost City,Drama Romance,Andy García Richard Bradford Nestor Carbonell,Andy García
Next Friday,Comedy,Ice Cube Mike Epps Justin Pierce,Steve Carr
American Heist,Action,Hayden Christensen Adrien Brody Jordana Brewster,Sarik Andreasyan
You Only Live Twice,Action Thriller Adventure,Sean Connery Akiko Wakabayashi Karin Dor,Lewis Gilbert
Plastic,Drama Action Comedy Crime,Ed Speleers Will Poulter Alfie Allen,Julian Gilbey
Amour,Drama Romance,Emmanuelle Riva Jean-Louis Trintignant Isabelle Huppert,Michael Haneke
Poltergeist III,Horror Thriller,Tom Skerritt Nancy Allen Heather O'Rourke,Gary Sherman
Re-Kill,Horror Science Fiction,Roger Cross Scott Adkins Daniella Alonso,Valeri Milev
"It's a Mad, Mad, Mad, Mad World",Action Adventure Comedy Crime,Spencer Tracy Milton Berle Sid Caesar,Stanley Kramer
Volver,Comedy Drama Romance,Penélope Cruz Carmen Maura Lola Dueñas,Pedro Almodóvar
Heavy Metal,Animation Science Fiction,Rodger Bumpass Jackie Burroughs Joe Flaherty,Gerald Potterton
Gentlemen Broncos,Action Comedy Thriller,Michael Angarano Sam Rockwell Clive Revill,Jared Hess
Richard III,Drama War,Ian McKellen Annette Bening Jim Broadbent,Richard Loncraine
Into the Grizzly Maze,Action Horror Thriller,James Marsden Thomas Jane Piper Perabo,David Hackl
Kites,Drama Action Romance,Hrithik Roshan Bárbara Mori Kabir Bedi,Anurag Basu
Melancholia,Drama Science Fiction,Kirsten Dunst Charlotte Gainsbourg Kiefer Sutherland,Lars von Trier
Red Dog,Drama Comedy Family,Josh Lucas Rachael Taylor Rohan Nichol,Kriv Stenders
Jab Tak Hai Jaan,Drama Romance,Shah Rukh Khan Katrina Kaif Anushka Sharma,Yash Chopra
Alien,Horror Action Thriller Science Fiction,Tom Skerritt Sigourney Weaver Veronica Cartwright,Ridley Scott
The Texas Chain Saw Massacre,Horror,Marilyn Burns Allen Danziger Paul A. Partain,Tobe Hooper
The Runaways,Drama Music,Dakota Fanning Kristen Stewart Michael Shannon,Floria Sigismondi
Fiddler on the Roof,Drama Romance,Chaim Topol Norma Crane Leonard Frey,Norman Jewison
Thunderball,Adventure Action Thriller,Sean Connery Claudine Auger Adolfo Celi,Terence Young
Detention,Horror Comedy Science Fiction,Shanley Caswell Josh Hutcherson Spencer Locke,Joseph Kahn
Mine vaganti,Comedy Drama Romance,Nicole Grimaudo Riccardo Scamarcio Alessandro Preziosi,Ferzan Ozpetek
Set It Off,Drama Action Crime,Jada Pinkett Smith Queen Latifah Vivica A. Fox,F. Gary Gray
The Best Man,Drama Comedy,Nia Long Morris Chestnut Harold Perrineau,Malcolm D. Lee
Child's Play,Horror Thriller,Catherine Hicks Chris Sarandon Alex Vincent,Tom Holland
Sicko,Documentary,Michael Moore George W. Bush Bill Clinton,Michael Moore
The Purge: Anarchy,Horror Thriller,Frank Grillo Carmen Ejogo Zach Gilford,James DeMonaco
Down to You,Comedy Drama Family Romance,Freddie Prinze Jr. Julia Stiles Selma Blair,Kris Isacsson
